# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: /home/baunilha/Repositories/PCS3635/experiment_06/circuito_exp6/jogo_desafio_memoria.csv
# Generated on: Sun Feb  9 10:38:04 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
db_contagem[6],Output,PIN_AA22,4A,B4A_N0,PIN_AB12,,,,,,,,,,,,,,
db_enderecoIgualSequencia,Output,PIN_Y3,2A,B2A_N0,PIN_AA8,,,,,,,,,,,,,,
db_estado[0],Output,PIN_AA20,4A,B4A_N0,PIN_AB11,,,,,,,,,,,,,,
db_estado[1],Output,PIN_AB20,4A,B4A_N0,PIN_AB10,,,,,,,,,,,,,,
db_estado[2],Output,PIN_AA19,4A,B4A_N0,PIN_V13,,,,,,,,,,,,,,
db_estado[3],Output,PIN_AA18,4A,B4A_N0,PIN_Y3,,,,,,,,,,,,,,
db_estado[4],Output,PIN_AB18,4A,B4A_N0,PIN_U12,,,,,,,,,,,,,,
db_estado[5],Output,PIN_AA17,4A,B4A_N0,PIN_AA2,,,,,,,,,,,,,,
db_estado[6],Output,PIN_U22,4A,B4A_N0,PIN_Y9,,,,,,,,,,,,,,
db_fimS,Output,PIN_N2,2A,B2A_N0,PIN_U11,,,,,,,,,,,,,,
db_jogadafeita[0],Output,PIN_Y19,4A,B4A_N0,PIN_N6,,,,,,,,,,,,,,
db_jogadafeita[1],Output,PIN_AB17,4A,B4A_N0,PIN_R6,,,,,,,,,,,,,,
db_jogadafeita[2],Output,PIN_AA10,3B,B3B_N0,PIN_AA12,,,,,,,,,,,,,,
db_jogadafeita[3],Output,PIN_Y14,4A,B4A_N0,PIN_Y11,,,,,,,,,,,,,,
db_jogadafeita[4],Output,PIN_V14,4A,B4A_N0,PIN_T7,,,,,,,,,,,,,,
db_jogadafeita[5],Output,PIN_AB22,4A,B4A_N0,PIN_W8,,,,,,,,,,,,,,
db_jogadafeita[6],Output,PIN_AB21,4A,B4A_N0,PIN_W2,,,,,,,,,,,,,,
db_memoria[0],Output,PIN_Y16,4A,B4A_N0,PIN_AA9,,,,,,,,,,,,,,
db_memoria[1],Output,PIN_W16,4A,B4A_N0,PIN_U7,,,,,,,,,,,,,,
db_memoria[2],Output,PIN_Y17,4A,B4A_N0,PIN_M8,,,,,,,,,,,,,,
db_memoria[3],Output,PIN_V16,4A,B4A_N0,PIN_T10,,,,,,,,,,,,,,
db_memoria[4],Output,PIN_U17,4A,B4A_N0,PIN_M9,,,,,,,,,,,,,,
db_memoria[5],Output,PIN_V18,4A,B4A_N0,PIN_R7,,,,,,,,,,,,,,
db_memoria[6],Output,PIN_V19,4A,B4A_N0,PIN_U6,,,,,,,,,,,,,,
db_sequencia[0],Output,PIN_U20,4A,B4A_N0,PIN_U10,,,,,,,,,,,,,,
db_sequencia[1],Output,PIN_Y20,4A,B4A_N0,PIN_AB5,,,,,,,,,,,,,,
db_sequencia[2],Output,PIN_V20,4A,B4A_N0,PIN_U8,,,,,,,,,,,,,,
db_sequencia[3],Output,PIN_U16,4A,B4A_N0,PIN_P8,,,,,,,,,,,,,,
db_sequencia[4],Output,PIN_U15,4A,B4A_N0,PIN_AB6,,,,,,,,,,,,,,
db_sequencia[5],Output,PIN_Y15,4A,B4A_N0,PIN_R10,,,,,,,,,,,,,,
db_sequencia[6],Output,PIN_P9,3B,B3B_N0,PIN_R5,,,,,,,,,,,,,,
db_tem_jogada,Output,PIN_AA1,2A,B2A_N0,PIN_AA1,,,,,,,,,,,,,,
db_timeout,Output,PIN_N1,2A,B2A_N0,PIN_N9,,,,,,,,,,,,,,
db_timeoutL,Output,PIN_U2,2A,B2A_N0,PIN_AB7,,,,,,,,,,,,,,
ganhou,Output,PIN_A12,7A,B7A_N0,PIN_M7,,,,,,,,,,,,,,
jogar,Input,PIN_K20,7A,B7A_N0,PIN_V10,,,,,,,,,,,,,,
leds[0],Output,PIN_G17,7A,B7A_N0,PIN_T9,,,,,,,,,,,,,,
leds[1],Output,PIN_J18,7A,B7A_N0,PIN_P12,,,,,,,,,,,,,,
leds[2],Output,PIN_G11,7A,B7A_N0,PIN_U13,,,,,,,,,,,,,,
leds[3],Output,PIN_J11,7A,B7A_N0,PIN_P6,,,,,,,,,,,,,,
perdeu,Output,PIN_B12,7A,B7A_N0,PIN_R9,,,,,,,,,,,,,,
pronto,Output,PIN_B13,7A,B7A_N0,PIN_M6,,,,,,,,,,,,,,
reset,Input,PIN_C16,7A,B7A_N0,PIN_P7,,,,,,,,,,,,,,
timeout,Output,PIN_D13,7A,B7A_N0,PIN_AA10,,,,,,,,,,,,,,
